lat,lon,cod_ibge
-23.1481985939227,-44.7055562654361,330380
-9.61115609718924,-35.8292204133871,270790
-29.3825994616135,-51.372147941286,431975
-17.6049582854924,-45.9342583065135,313630
-6.42246024669591,-42.2336806120111,220400
-8.88660558598427,-63.3251359996644,110080
-4.71274705835986,-68.4034410838675,130230
-13.3307969095555,-52.3983821587213,510270
0.0381880824757361,-61.0100221402685,140047
-12.1609672487664,-52.7416829674886,510706
-20.5947120277236,-51.4399943177771,352300
-19.7552669386076,-55.8628866391499,500110
-17.0070592208429,-51.8152169444818,520440
-20.9126511834071,-54.2492495438553,500270
-17.6308703106182,-52.766744191267,521310
-11.5395391360485,-40.316131877318,293310
-7.19515300191862,-40.786767610759,220027
-10.3351345136173,-36.8669775852245,280690
-13.6267374742786,-40.2744095884478,291870
-7.27870526114232,-35.2670312801509,251150
-7.07218926952076,-36.7093373198013,250135
-16.0851851734796,-47.9890465267761,522185
-5.61339824487279,-35.9865211904895,240550
-6.15207795767049,-35.6058008452654,240530
-3.70712139259023,-42.5837826147087,220610
-7.02839170750646,-34.8475428903648,250320
0.991212136139161,-61.4715635876398,140020
-4.17116400684043,-51.7729705388123,150780
-15.0655704484869,-57.5595511740497,510170
-7.30609041147785,-40.6286487230432,220209
-6.04966220991437,-42.7021988426023,220945
-4.22196923189309,-38.6629953513452,230015
-11.9178205531559,-54.1671293856265,510370
-12.1807526118753,-39.1952224613575,290150
-7.59724572774083,-41.5179272762324,221150
-7.75740244910132,-68.196785655636,130350
-1.37219320513787,-59.9883407418358,130353
-9.96380623542575,-36.3711620548965,270915
-8.75014487432502,-36.3214125713939,260330
-6.82083099726497,-38.3346814515577,250915
-7.42078122852644,-36.8522533468283,251480
-28.5823544260637,-52.5977343083061,432146
0.255433255212772,-57.1493310097009,150530
-3.20306145772691,-47.6026758902903,150550
-21.8917831902516,-49.3328794854205,350470
-18.7306624367029,-56.7232247061597,500320
0.555211063445644,-50.7004451080837,160030
-12.087556149403,-60.2519988253817,110030
-7.51332834104229,-43.577293037996,220225
-6.4849004551598,-38.5590204369378,250205
-21.2371343609491,-57.3684385282438,500690
-21.5515664501601,-55.3960779448521,500540
-20.5957956838025,-53.5434955305307,500710
-15.7806991625806,-47.7967722516916,530010
-17.9306120226831,-47.6641571995399,520510
-2.31844208960071,-45.7730588493565,210923
-10.8091616651407,-48.8740533482245,170755
-5.33927283628939,-47.5748484125208,210530
-6.50941582744593,-44.3386022341801,211190
-11.7372612700777,-41.4825161079863,290530
-12.8134557957334,-43.7990657180212,293030
-7.99942744966102,-35.2225826250172,260440
-8.48967044632501,-36.0976144452347,260080
-0.903614889949825,-48.2843146428566,150260
0.884715671758692,-60.1513105185728,140060
-3.75714925248675,-45.5807829928393,211227
-12.2349147215538,-41.1650237345031,293340
-11.1599201583215,-61.5684734142907,110120
-1.3393697879726,-48.2750207084863,150150
-2.50317674980813,-44.1201704740525,210750
-7.56066734925359,-37.038014805603,250073
-7.36250485178158,-62.4849621469547,130170
-5.17173471467279,-37.0245907461068,241335
-7.09351483913608,-48.9734330300419,171886
-6.90695132340833,-41.2083679462342,220940
-1.24035819026742,-48.4591290278821,150140
-7.11438101883355,-37.0428772699906,251070
-11.0422991295343,-40.2204782835187,290550
-2.36712675043388,-46.1276923728042,210315
-21.0995903952873,-40.8924743733725,320332
-20.0662307802327,-50.3436653855717,351800
-10.9430402085135,-62.2792534698832,110155
-0.912871919135965,-47.3324328602789,150690
-7.03155080180042,-38.3284683855522,250410
-29.6476703249364,-51.1870765030544,430760
-9.29187519847038,-60.3050933574439,510325
