lat,lon,terrai_cod,terrai_nom
-27.3579099190696,-52.9254872119487,30701,Nonoai
-27.4258144730018,-53.0417852585662,30801,Nonoai/Rio da Várzea
-12.0065928536579,-53.4022026273611,33801,Parque do Xingu
-3.44327251888332,-59.300102479717,33901,Patauá
-20.3675292341671,-56.1349496744708,30901,Nossa Senhora de Fátima
-3.57787709914168,-68.7372371569211,31001,Nova Esperança do Rio Jandiatuba
-7.43367611441834,-62.5723774687948,31201,Nove de Janeiro
-7.3708660642913,-73.4656623606461,31301,Nukini
-21.2501324374368,-52.1340286710115,31401,Ofayé-Xavante
-21.2621317567056,-52.166513654448,31402,Ofayé-Xavante
-31.1680658371417,-51.7846639947146,31701,Pacheca
-3.74252058288406,-59.1828110752887,31901,Padre
-26.5323463359663,-52.0695660867405,32002,Palmas
-22.1252294433597,-54.6702497010702,32101,Panambizinho
-9.36813755325795,-54.1833553177359,32201,Panará
-3.45848558382862,-51.7677518043128,32602,Paquiçamba
-14.3814438392865,-53.1695502849191,32701,Parabubure
-4.79747688212369,-50.1311512421764,32901,Parakanã
-3.21853276749126,-58.6541881183908,33001,Paraná do Arauató
-1.66791396036791,-67.1273830762601,33101,Parana do Boa Boa
-1.87717994144758,-65.8388491322615,33201,Parana do Paricá
-23.2544359072626,-44.651815169958,33301,Parati-Mirim
-14.2586426712974,-58.6464251012338,33401,Paresi
-14.8085358481041,-59.4905981834498,34101,Sararé
-6.06616435781717,-64.9036455690555,34201,Paumari do Cuniua
-5.80194169657656,-64.5946991844237,34302,Paumari do Lago Manissuã
-7.62704537674881,-65.2363472216787,34401,Paumari do Lago Marahã
-24.1850125249918,-46.9850370716578,35001,Peruíbe
-24.231677063246,-46.9400953487377,35101,Piaçaguera
-13.4228870773539,-51.6340655901308,35301,Pimentel Barbosa
-27.1409633261829,-52.4625406189597,35502,Toldo Pinhal
-7.10637067738481,-62.0933869558732,35701,Pirahã
-23.953880628168,-55.283058413685,35901,Pirajuí
-3.93993567780427,-38.6333696024114,36201,Pitaguary
-22.8479680125992,-55.1176183057485,37801,Rancho Jacaré
4.33440430242594,-60.267288706796,37901,Raposa Serra do Sol
-3.5453801884507,-59.1994031396558,38001,Recreio/São Félix
-4.82609686385617,-67.7253846786217,38501,Rio Biá
-5.74000262240822,-54.5861273697889,38902,Kuruáya
-27.18189437689,-53.4120199247767,39101,Rio dos Índios
-8.42786832179714,-71.7211955297765,39401,Rio Gregório
-8.36428013945324,-71.7623315929734,39402,Rio Gregório
-11.9510755026228,-64.7147758160088,39501,Rio Guaporé
-3.84272757675179,-59.8885031227294,39601,Rio Jumas
-12.6283193099346,-61.74255693622,39801,Rio Mequens
